DASH process IRI	Out argument	Out argument type	Out argument valueset
ID	A http://purl.obolibrary.org/obo/DASH-Onto_0000086	>A http://purl.obolibrary.org/obo/DASH-Onto_0000088	>A http://purl.obolibrary.org/obo/DASH-Onto_0000089
dash:DASH-Onto_0000013	dataIssue	Bool	"true = DASH data advice to a DASH user as not successful, information regarding information items, metrics and provenance chains is insufficient, or if sufficient suggests a project may not be feasible.
false = DASH data advice to a DASH user (give by a DASH or automation) was successful"
dash:DASH-Onto_0000016	eligibilityIssue	Bool	"true = DASH eligibility advice to a PRG was either unsuccessful or the PRG is ineligible.
false = DASH eligibility advice to a PRG was successful and the PRG is eligible."
dash:DASH-Onto_0000019	NextOperation	int	"1 = OVR_PerformGuidance: A DASH should perform DASH Guidance with a PRG.
2 = OVR_CompleteDAR: A DASH should ensure the completion and validity of a shared data access request form for a project.
3 = OVR_EndProject: A DASH should move to enforce an end to a project by all participants."
dash:DASH-Onto_0000014	supportIssue	Bool	"true = DASH support advice to a DASH user was not successful, information regarding support services available from a DC is insufficient, or if sufficient suggests a project may not be feasible.
false = DASH data advice to a DASH user (give by a DASH or automation) was successful"
dash:DASH-Onto_0000049	DARIssue	Bool	"true = A data access request review was not successful, information required by one or more DC is incomplete or unsatisfactory to proceed with a DC application process (application for data to a data custodian).
false = A data access request review was successful."
dash:DASH-Onto_0000050	reportCohortIssue	Bool	"true = A data availability cohort review was not successful, the cohort(s) information item requests in the DAP cannot be satisfied.
false = A data availability cohort review was successful"
dash:DASH-Onto_0000051	reportExtractIssue	Bool	"true = A data availability extract review was not successful, the extract(s) information item requests in the DAP cannot be satisfied.
false = A data availability extract review was successful."
dash:DASH-Onto_0000047	reportControllerIssue	Bool	"true = A data controller review was not successful, alignment with DC policies and other delegated data-controller agreements has not been demonstrated.
false = A data controller review was successful."
dash:DASH-Onto_0000031	reportDataPreparationIssue	Bool	"true = An issue arose during a DC data preparation resulting in failure to produce a new data asset.
false = A new data asset was successfully produced from a DC data preparation."
dash:DASH-Onto_0000082	reportOrientationIssue	Bool	"true = A DC has reported an issue during orientation for members of a PRG. Orientation promotes safe handling of data by members of a PRG within a TEA.
false = Members of a PRG have successfully completed orientation required by an assigned TEA. Orientation promotes safe handling of data by members of a PRG within a TEA."
dash:DASH-Onto_0000032	reportPETProcessingIssue	Bool	"true = An issue arose during a DC PET processing resulting in a failure to produce an updated dataset.
false = A DC PET processing was successfully carried out yielding an updated dataset."
dash:DASH-Onto_0000029	reportCohortIssue	Bool	"true = An issue arose during a DC Project cohort preparation resulting in failure to produce a project cohort.
false = A project cohort was successfully produced from a DC Project cohort preparation."
dash:DASH-Onto_0000052	reportEligibilityIssue	Bool	"true = A data eligibility review was not successful, a PRG did not pass DC governance criteria permitting the PRG to have their project protocol evaluated.
false = A data eligibility review was successful."
